SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_HOUSING_TYPE,DAYS_BIRTH,OCCUPATION_TYPE,ORGANIZATION_TYPE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8
100002,1,Cash loans,M,N,Y,202500,406597.5,24700.5,351000,Working,Secondary / secondary special,House / apartment,-9461,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100003,0,Cash loans,F,N,N,270000,1293502.5,35698.5,1129500,State servant,Higher education,House / apartment,-16765,Core staff,School,0,1,0,0,0,0,0
100004,0,Revolving loans,M,Y,Y,67500,135000,6750,135000,Working,Secondary / secondary special,House / apartment,-19046,Laborers,Government,0,0,0,0,0,0,0
100006,0,Cash loans,F,N,Y,135000,312682.5,29686.5,297000,Working,Secondary / secondary special,House / apartment,-19005,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100007,0,Cash loans,M,N,Y,121500,513000,21865.5,513000,Working,Secondary / secondary special,House / apartment,-19932,Core staff,Religion,0,0,0,0,0,0,1
100008,0,Cash loans,M,N,Y,99000,490495.5,27517.5,454500,State servant,Secondary / secondary special,House / apartment,-16941,Laborers,Others,0,1,0,0,0,0,0
100009,0,Cash loans,F,Y,Y,171000,1560726,41301,1395000,Commercial associate,Higher education,House / apartment,-13778,Accountants,Business Entity Type 3,0,0,0,0,0,0,1
100010,0,Cash loans,M,Y,Y,360000,1530000,42075,1530000,State servant,Higher education,House / apartment,-18850,Managers,Others,0,1,0,0,0,0,0
100011,0,Cash loans,F,N,Y,112500,1019610,33826.5,913500,Pensioner,Secondary / secondary special,House / apartment,-20099,Others,Others,0,1,0,0,0,0,0
100012,0,Revolving loans,M,N,Y,135000,405000,20250,405000,Working,Secondary / secondary special,House / apartment,-14469,Laborers,Electricity,0,0,0,0,0,0,0
100014,0,Cash loans,F,N,Y,112500,652500,21177,652500,Working,Higher education,House / apartment,-10197,Core staff,Medicine,0,1,0,0,0,0,0
100015,0,Cash loans,F,N,Y,38419.155,148365,10678.5,135000,Pensioner,Secondary / secondary special,House / apartment,-20417,Others,Others,0,0,0,0,1,0,0
100016,0,Cash loans,F,N,Y,67500,80865,5881.5,67500,Working,Secondary / secondary special,House / apartment,-13439,Laborers,Business Entity Type 2,0,1,0,0,0,0,0
100017,0,Cash loans,M,Y,N,225000,918468,28966.5,697500,Working,Secondary / secondary special,House / apartment,-14086,Drivers,Self-employed,0,1,0,0,0,0,0
100018,0,Cash loans,F,N,Y,189000,773680.5,32778,679500,Working,Secondary / secondary special,House / apartment,-14583,Laborers,Transport: type 2,0,1,0,0,0,0,0
100019,0,Cash loans,M,Y,Y,157500,299772,20160,247500,Working,Secondary / secondary special,Rented apartment,-8728,Laborers,Business Entity Type 2,0,0,0,0,0,0,1
100020,0,Cash loans,M,N,N,108000,509602.5,26149.5,387000,Working,Secondary / secondary special,House / apartment,-12931,Drivers,Government,0,1,0,0,0,0,0
100021,0,Revolving loans,F,N,Y,81000,270000,13500,270000,Working,Secondary / secondary special,House / apartment,-9776,Laborers,Construction,0,0,0,0,0,0,0
100022,0,Revolving loans,F,N,Y,112500,157500,7875,157500,Working,Secondary / secondary special,House / apartment,-17718,Laborers,Housing,0,1,0,0,0,0,0
100023,0,Cash loans,F,N,Y,90000,544491,17563.5,454500,State servant,Higher education,House / apartment,-11348,Core staff,Kindergarten,0,1,0,0,0,0,0
100024,0,Revolving loans,M,Y,Y,135000,427500,21375,427500,Working,Secondary / secondary special,House / apartment,-18252,Laborers,Self-employed,0,0,0,0,0,0,0
100025,0,Cash loans,F,Y,Y,202500,1132573.5,37561.5,927000,Commercial associate,Secondary / secondary special,House / apartment,-14815,Sales staff,Trade: type 7,0,1,0,0,0,0,0
100026,0,Cash loans,F,N,N,450000,497520,32521.5,450000,Working,Secondary / secondary special,Rented apartment,-11146,Sales staff,Self-employed,0,1,0,0,0,0,0
100027,0,Cash loans,F,N,Y,83250,239850,23850,225000,Pensioner,Secondary / secondary special,House / apartment,-24827,Others,Others,0,0,0,0,1,0,0
100029,0,Cash loans,M,Y,N,135000,247500,12703.5,247500,Working,Secondary / secondary special,House / apartment,-11286,Drivers,Business Entity Type 3,0,1,0,0,0,0,0
100030,0,Cash loans,F,N,Y,90000,225000,11074.5,225000,Working,Secondary / secondary special,House / apartment,-19334,Cleaning staff,Business Entity Type 3,0,1,0,0,0,0,0
100031,1,Cash loans,F,N,Y,112500,979992,27076.5,702000,Working,Secondary / secondary special,House / apartment,-18724,Cooking staff,Business Entity Type 3,0,1,0,0,0,0,0
100032,0,Cash loans,M,N,Y,112500,327024,23827.5,270000,Working,Secondary / secondary special,House / apartment,-15948,Laborers,Industry: type 11,0,1,0,0,0,0,0
100033,0,Cash loans,M,Y,Y,270000,790830,57676.5,675000,State servant,Higher education,House / apartment,-9994,Others,Military,0,0,0,0,0,0,1
100034,0,Revolving loans,M,N,Y,90000,180000,9000,180000,Working,Higher education,With parents,-10341,Laborers,Business Entity Type 3,0,0,0,0,0,0,0
100035,0,Cash loans,F,N,Y,292500,665892,24592.5,477000,Commercial associate,Secondary / secondary special,House / apartment,-15280,Others,Business Entity Type 3,0,1,0,0,0,0,0
100036,0,Cash loans,F,N,Y,112500,512064,25033.5,360000,Working,Secondary / secondary special,House / apartment,-11144,Private service staff,Services,0,1,0,0,0,0,0
100037,0,Cash loans,F,N,N,90000,199008,20893.5,180000,Working,Secondary / secondary special,House / apartment,-12974,Laborers,Business Entity Type 2,0,1,0,0,0,0,0
100039,0,Cash loans,M,Y,N,360000,733315.5,39069,679500,Commercial associate,Secondary / secondary special,House / apartment,-11694,Drivers,Self-employed,0,0,0,0,0,0,1
100040,0,Cash loans,F,N,Y,135000,1125000,32895,1125000,State servant,Higher education,House / apartment,-15997,Core staff,Security Ministries,0,1,0,0,0,0,0
100041,0,Cash loans,F,N,N,112500,450000,44509.5,450000,Working,Higher education,House / apartment,-12158,Sales staff,Self-employed,0,1,0,0,0,0,0
100043,0,Cash loans,F,N,Y,198000,641173.5,23157,553500,Commercial associate,Secondary / secondary special,House / apartment,-17199,Private service staff,Others,0,1,0,0,0,0,0
100044,0,Cash loans,M,N,Y,121500,454500,15151.5,454500,Working,Secondary / secondary special,House / apartment,-21077,Drivers,Transport: type 4,0,1,0,0,0,0,0
100045,0,Cash loans,F,N,Y,99000,247275,17338.5,225000,Pensioner,Secondary / secondary special,House / apartment,-23920,Others,Others,0,1,0,0,0,0,0
100046,0,Revolving loans,M,Y,Y,180000,540000,27000,540000,Working,Higher education,House / apartment,-16126,Managers,Business Entity Type 3,0,0,0,0,0,0,0
100047,1,Cash loans,M,N,Y,202500,1193580,35028,855000,Commercial associate,Secondary / secondary special,House / apartment,-17482,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100048,0,Cash loans,F,N,Y,202500,604152,29196,540000,Working,Secondary / secondary special,House / apartment,-16971,Laborers,Industry: type 1,0,1,0,0,0,0,0
100049,1,Cash loans,F,N,N,135000,288873,16258.5,238500,Working,Secondary / secondary special,House / apartment,-13384,Sales staff,Self-employed,0,1,0,0,0,0,0
100050,0,Cash loans,F,N,Y,108000,746280,42970.5,675000,Pensioner,Higher education,House / apartment,-23548,Others,Others,0,1,0,0,0,0,0
100051,0,Cash loans,M,N,Y,202500,661702.5,48280.5,598500,Working,Secondary / secondary special,House / apartment,-9827,Others,Business Entity Type 3,0,1,0,0,0,0,0
100052,0,Revolving loans,F,N,Y,90000,180000,9000,180000,Working,Secondary / secondary special,House / apartment,-7974,Sales staff,Self-employed,0,0,0,0,0,0,0
100053,0,Cash loans,F,N,Y,202500,305221.5,17649,252000,Pensioner,Secondary / secondary special,House / apartment,-20373,Others,Others,0,1,0,0,0,0,0
100054,0,Cash loans,F,N,Y,99000,260640,26838,225000,Working,Secondary / secondary special,House / apartment,-20121,Medicine staff,Business Entity Type 3,0,1,0,0,0,0,0
100055,0,Cash loans,F,N,N,130500,1350000,37255.5,1350000,State servant,Secondary / secondary special,House / apartment,-19727,Managers,Government,0,1,0,0,0,0,0
100056,0,Cash loans,M,Y,Y,360000,1506816,49927.5,1350000,Working,Secondary / secondary special,House / apartment,-18264,Laborers,Transport: type 2,0,1,0,0,0,0,0
100058,0,Revolving loans,F,N,Y,54000,135000,6750,135000,State servant,Higher education,House / apartment,-12406,Core staff,School,0,1,0,0,0,0,0
100059,0,Cash loans,M,Y,Y,540000,675000,34596,675000,Commercial associate,Higher education,House / apartment,-18632,Managers,Services,0,1,0,0,0,0,0
100060,0,Cash loans,M,Y,N,76500,454500,14661,454500,Working,Secondary / secondary special,House / apartment,-12282,Others,Emergency,0,1,0,0,0,0,0
100061,0,Cash loans,F,N,Y,225000,314055,16164,238500,Commercial associate,Higher education,House / apartment,-10473,Core staff,Self-employed,0,1,0,0,0,0,0
100062,0,Cash loans,M,Y,N,81000,675000,32472,675000,Pensioner,Secondary / secondary special,House / apartment,-18611,Others,Others,0,1,0,0,0,0,0
100063,0,Cash loans,F,N,Y,180000,837427.5,45558,666000,Working,Higher education,House / apartment,-12955,Managers,Medicine,0,1,0,0,0,0,0
100064,0,Cash loans,F,N,N,67500,298728,15381,202500,Pensioner,Secondary / secondary special,Municipal apartment,-21621,Others,Others,0,1,0,0,0,0,0
100068,0,Revolving loans,M,N,Y,81000,247500,12375,247500,Working,Secondary / secondary special,House / apartment,-18248,Security staff,Security,0,0,0,0,0,0,0
100069,0,Cash loans,M,Y,Y,360000,640458,27265.5,517500,Working,Secondary / secondary special,House / apartment,-14186,Laborers,Transport: type 4,0,1,0,0,0,0,0
100070,0,Cash loans,M,Y,Y,540000,1227901.5,46899,1129500,Working,Higher education,House / apartment,-20544,Managers,Business Entity Type 3,0,0,0,0,0,0,1
100071,0,Cash loans,F,N,Y,180000,1663987.5,86989.5,1588500,Commercial associate,Secondary / secondary special,House / apartment,-20121,Accountants,Industry: type 11,0,1,0,0,0,0,0
100072,0,Cash loans,M,N,N,180000,1080000,44118,1080000,Working,Incomplete higher,With parents,-7907,Sales staff,Trade: type 2,0,0,0,0,0,0,0
100073,0,Cash loans,M,Y,Y,324000,1130760,40189.5,810000,Pensioner,Higher education,House / apartment,-22843,Others,Others,0,1,0,0,0,0,0
100075,0,Cash loans,F,N,N,112500,95940,10462.5,90000,Working,Higher education,House / apartment,-12240,Others,University,0,1,0,0,0,0,0
100076,0,Cash loans,M,Y,N,180000,315000,9679.5,315000,Commercial associate,Secondary / secondary special,House / apartment,-13866,Drivers,Transport: type 3,0,0,0,0,0,0,1
100077,0,Cash loans,M,N,Y,180000,1256400,40657.5,900000,Commercial associate,Secondary / secondary special,House / apartment,-12049,Core staff,Police,0,1,0,0,0,0,0
100078,0,Cash loans,F,Y,Y,180000,1035000,43983,1035000,State servant,Higher education,House / apartment,-19550,Core staff,Government,0,1,0,0,0,0,0
100079,0,Revolving loans,M,N,Y,225000,270000,13500,270000,Working,Secondary / secondary special,Municipal apartment,-15359,Laborers,Construction,0,0,0,0,0,0,0
100080,0,Revolving loans,F,N,N,157500,450000,22500,450000,Commercial associate,Secondary / secondary special,House / apartment,-11956,Sales staff,Kindergarten,0,0,0,0,0,0,0
100081,0,Cash loans,M,Y,N,180000,450000,21109.5,450000,Commercial associate,Secondary / secondary special,House / apartment,-10848,Laborers,Others,0,0,0,0,0,0,1
100082,0,Cash loans,M,N,N,180000,450000,21109.5,450000,Commercial associate,Higher education,House / apartment,-12009,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100083,0,Cash loans,M,Y,Y,103500,573628.5,24435,463500,Working,Secondary / secondary special,House / apartment,-15406,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100084,0,Cash loans,M,N,Y,225000,495351,26140.5,459000,Working,Secondary / secondary special,House / apartment,-14860,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100085,0,Cash loans,M,N,Y,157500,755190,28894.5,675000,Working,Secondary / secondary special,House / apartment,-11187,Drivers,Business Entity Type 1,0,1,0,0,0,0,0
100086,0,Cash loans,F,N,Y,135000,675000,21775.5,675000,Commercial associate,Higher education,House / apartment,-14264,Laborers,Self-employed,0,1,0,0,0,0,0
100087,0,Cash loans,F,N,Y,202500,1288350,37800,1125000,Working,Secondary / secondary special,House / apartment,-17542,Cooking staff,Self-employed,0,1,0,0,0,0,0
100088,0,Revolving loans,F,N,N,112500,135000,6750,135000,Commercial associate,Higher education,House / apartment,-19467,Others,School,0,0,0,0,0,0,0
100089,0,Cash loans,M,N,Y,135000,337761,15781.5,256500,Working,Secondary / secondary special,House / apartment,-9666,Laborers,Self-employed,0,1,0,0,0,0,0
100093,0,Cash loans,F,N,Y,94500,585000,28273.5,585000,Working,Secondary / secondary special,House / apartment,-18253,Core staff,Postal,0,1,0,0,0,0,0
100094,0,Cash loans,F,N,Y,108000,113760,5301,90000,Pensioner,Higher education,House / apartment,-22935,Others,Others,0,1,0,0,0,0,0
100095,0,Revolving loans,F,N,Y,67500,135000,6750,135000,Working,Secondary / secondary special,House / apartment,-18693,Sales staff,Trade: type 7,0,0,0,0,0,0,0
100096,1,Cash loans,F,N,Y,81000,252000,14593.5,252000,Pensioner,Secondary / secondary special,House / apartment,-24794,Others,Others,0,0,0,0,1,0,0
100097,0,Cash loans,M,Y,Y,157500,760225.5,30280.5,679500,Working,Secondary / secondary special,House / apartment,-17527,Others,Business Entity Type 3,0,1,0,0,0,0,0
100098,0,Revolving loans,M,Y,N,225000,270000,13500,270000,Working,Secondary / secondary special,House / apartment,-17390,Drivers,Transport: type 3,0,0,0,0,0,0,0
100099,0,Cash loans,F,N,Y,360000,733315.5,41076,679500,Pensioner,Secondary / secondary special,House / apartment,-23032,Others,Others,0,1,0,0,0,0,0
100100,0,Cash loans,M,Y,Y,202500,796396.5,38443.5,643500,Working,Higher education,House / apartment,-15909,Managers,Industry: type 11,0,1,0,0,0,0,0
100101,0,Cash loans,F,Y,Y,202500,343377,22072.5,283500,State servant,Higher education,House / apartment,-18138,High skill tech staff,Business Entity Type 1,0,0,0,0,0,0,1
100102,0,Cash loans,F,N,N,126000,327024,10264.5,270000,Working,Secondary / secondary special,House / apartment,-14321,Laborers,Transport: type 4,0,1,0,0,0,0,0
100103,0,Cash loans,F,N,Y,72000,450000,16965,450000,Working,Secondary / secondary special,House / apartment,-21112,Others,School,0,1,0,0,0,0,0
100104,0,Cash loans,F,N,Y,90000,547344,30690,472500,Working,Secondary / secondary special,House / apartment,-18556,Waiters/barmen staff,Business Entity Type 3,0,1,0,0,0,0,0
100105,0,Cash loans,F,N,Y,193500,225000,23755.5,225000,Working,Secondary / secondary special,House / apartment,-19810,Managers,Government,0,1,0,0,0,0,0
100108,0,Cash loans,F,N,Y,171000,545040,31288.5,450000,Working,Secondary / secondary special,House / apartment,-12780,Sales staff,Business Entity Type 3,0,1,0,0,0,0,0
100110,0,Cash loans,M,Y,Y,135000,373140,25065,337500,Commercial associate,Secondary / secondary special,House / apartment,-10744,Laborers,Housing,0,1,0,0,0,0,0
100111,0,Cash loans,F,Y,N,112500,862560,27954,720000,Commercial associate,Secondary / secondary special,With parents,-10485,Sales staff,Business Entity Type 3,0,1,0,0,0,0,0
100112,1,Cash loans,M,Y,Y,315000,953460,64107,900000,Commercial associate,Incomplete higher,With parents,-10199,Others,Industry: type 4,0,1,0,0,0,0,0
100113,0,Cash loans,M,Y,N,76500,135000,6696,135000,Working,Secondary / secondary special,House / apartment,-15137,Low-skill Laborers,Agriculture,0,1,0,0,0,0,0
100114,0,Cash loans,F,N,Y,135000,284400,22599,225000,Commercial associate,Higher education,House / apartment,-10734,Laborers,Restaurant,0,1,0,0,0,0,0
100115,0,Cash loans,F,N,N,90000,315000,14683.5,315000,Working,Secondary / secondary special,House / apartment,-15371,Others,Business Entity Type 3,0,1,0,0,0,0,0
100116,0,Cash loans,F,N,Y,243000,900000,32017.5,900000,Working,Higher education,House / apartment,-14751,Core staff,Kindergarten,0,1,0,0,0,0,0
100118,0,Cash loans,F,N,Y,90000,675000,26541,675000,Pensioner,Secondary / secondary special,House / apartment,-22471,Others,Others,0,0,0,0,1,0,0
100119,0,Revolving loans,F,N,Y,54000,180000,9000,180000,Working,Secondary / secondary special,House / apartment,-11142,Medicine staff,Medicine,0,0,0,0,0,0,0
100120,0,Cash loans,F,N,N,135000,781920,28215,675000,Working,Higher education,House / apartment,-9650,Core staff,Government,0,1,0,0,0,0,0
100121,0,Cash loans,M,N,Y,126000,787131,26145,679500,Working,Secondary / secondary special,With parents,-16798,Low-skill Laborers,Business Entity Type 2,0,1,0,0,0,0,0
100122,0,Cash loans,F,N,N,76500,808650,26217,675000,Commercial associate,Higher education,With parents,-10954,Core staff,Others,0,1,0,0,0,0,0
100123,0,Cash loans,F,N,N,103500,675000,19737,675000,Working,Secondary / secondary special,House / apartment,-23719,Security staff,Medicine,0,1,0,0,0,0,0
100124,0,Cash loans,M,N,Y,225000,448272,28647,396000,Pensioner,Secondary / secondary special,House / apartment,-24051,Others,Others,0,0,0,0,1,0,0
100125,0,Cash loans,F,N,N,126000,263686.5,26208,238500,Pensioner,Secondary / secondary special,House / apartment,-21613,Others,Others,0,0,0,0,1,0,0
100126,0,Revolving loans,M,N,Y,135000,180000,9000,180000,Working,Secondary / secondary special,House / apartment,-12900,Others,Transport: type 4,0,0,0,0,0,0,0
100127,0,Cash loans,M,N,Y,112500,52128,5341.5,45000,Pensioner,Secondary / secondary special,House / apartment,-21341,Others,Others,0,0,0,0,1,0,0
100129,0,Revolving loans,F,Y,Y,85500,135000,6750,135000,Working,Higher education,House / apartment,-9415,Others,Business Entity Type 1,0,1,0,0,0,0,0
100130,1,Cash loans,F,N,Y,157500,723996,30802.5,585000,Commercial associate,Incomplete higher,House / apartment,-10526,Sales staff,Trade: type 2,0,1,0,0,0,0,0
100131,0,Cash loans,F,N,Y,270000,891072,45625.5,720000,Commercial associate,Secondary / secondary special,House / apartment,-13830,Realty agents,Others,0,1,0,0,0,0,0
100132,0,Cash loans,F,N,Y,202500,1136439,73611,1089000,Commercial associate,Secondary / secondary special,House / apartment,-23656,Cleaning staff,Business Entity Type 2,0,1,0,0,0,0,0
100133,0,Cash loans,F,N,N,67500,384048,18810,270000,Working,Secondary / secondary special,With parents,-9207,Core staff,Government,0,1,0,0,0,0,0
100134,0,Revolving loans,F,N,N,202500,180000,9000,180000,Commercial associate,Secondary / secondary special,House / apartment,-10085,Secretaries,Medicine,0,1,0,0,0,0,0
100135,0,Cash loans,M,N,Y,135000,391194,26271,319500,Commercial associate,Secondary / secondary special,House / apartment,-19829,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100136,0,Cash loans,M,Y,N,157500,1571931,49356,1435500,State servant,Secondary / secondary special,House / apartment,-15949,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100137,0,Cash loans,F,Y,Y,225000,891072,45625.5,720000,Pensioner,Secondary / secondary special,House / apartment,-20284,Others,Others,0,0,0,0,1,0,0
100138,0,Cash loans,M,Y,N,135000,824823,29223,688500,Pensioner,Higher education,House / apartment,-14339,Others,Others,0,1,0,0,0,0,0
100139,0,Cash loans,F,N,N,157500,302341.5,24016.5,261000,Working,Secondary / secondary special,House / apartment,-13286,Others,Business Entity Type 3,0,1,0,0,0,0,0
100140,0,Revolving loans,F,N,N,157500,675000,33750,675000,Commercial associate,Higher education,House / apartment,-9223,High skill tech staff,Business Entity Type 3,0,0,0,0,0,0,0
100142,0,Cash loans,M,Y,Y,360000,579195,27994.5,468000,State servant,Higher education,House / apartment,-13379,High skill tech staff,Transport: type 2,0,1,0,0,0,0,0
100143,0,Revolving loans,M,N,Y,162000,270000,13500,270000,State servant,Higher education,House / apartment,-22881,Core staff,Government,0,0,0,0,0,0,0
100144,0,Cash loans,F,N,N,112500,535500,30028.5,535500,Working,Secondary / secondary special,House / apartment,-16759,Sales staff,Self-employed,0,1,0,0,0,0,0
100145,0,Cash loans,F,Y,Y,202500,260725.5,16789.5,198000,Working,Secondary / secondary special,House / apartment,-16282,Laborers,Self-employed,0,1,0,0,0,0,0
100146,0,Cash loans,M,Y,Y,117000,327024,12456,270000,Pensioner,Secondary / secondary special,House / apartment,-22959,Others,Others,0,1,0,0,0,0,0
100147,0,Cash loans,F,N,Y,135000,518562,22099.5,463500,Working,Secondary / secondary special,House / apartment,-16142,Laborers,Business Entity Type 3,0,1,0,0,0,0,0
100148,0,Cash loans,F,N,Y,247500,755190,36459,675000,Commercial associate,Secondary / secondary special,House / apartment,-16340,Medicine staff,Others,0,1,0,0,0,0,0
100149,0,Cash loans,M,Y,N,171000,539590.5,26374.5,445500,Working,Secondary / secondary special,House / apartment,-9203,Low-skill Laborers,Self-employed,0,1,0,0,0,0,0
100151,0,Cash loans,M,N,N,135000,182016,11772,144000,Commercial associate,Higher education,House / apartment,-16522,Accountants,Business Entity Type 3,0,1,0,0,0,0,0
100152,0,Cash loans,F,N,Y,157500,254412,9720,166500,Working,Secondary / secondary special,Municipal apartment,-16083,Sales staff,Self-employed,0,1,0,0,0,0,0
100153,0,Cash loans,M,Y,Y,202500,1107981,32526,967500,Working,Secondary / secondary special,House / apartment,-18413,Drivers,Construction,0,1,0,0,0,0,0
100154,0,Revolving loans,M,N,N,144000,180000,9000,180000,Working,Secondary / secondary special,House / apartment,-12157,Drivers,Self-employed,0,0,0,0,0,0,0
100155,0,Cash loans,M,N,N,157500,675000,21906,675000,Working,Secondary / secondary special,House / apartment,-11944,Laborers,Construction,0,1,0,0,0,0,0
100156,0,Cash loans,F,Y,N,157500,945000,39127.5,945000,Commercial associate,Secondary / secondary special,With parents,-14235,Medicine staff,Medicine,0,1,0,0,0,0,0
100157,0,Cash loans,M,N,Y,180000,1755000,61132.5,1755000,Working,Secondary / secondary special,House / apartment,-16086,Others,Business Entity Type 3,0,0,0,0,0,0,1
100158,0,Cash loans,M,N,N,180000,590337,27486,477000,Commercial associate,Incomplete higher,House / apartment,-12348,Core staff,Culture,0,1,0,0,0,0,0
100159,0,Cash loans,F,N,Y,225000,1515415.5,41800.5,1354500,Commercial associate,Secondary / secondary special,House / apartment,-14645,Sales staff,Trade: type 7,0,1,0,0,0,0,0
100160,1,Cash loans,M,N,Y,292500,675000,36747,675000,Working,Higher education,House / apartment,-16667,Managers,Business Entity Type 3,0,0,0,0,0,0,1
100161,0,Cash loans,F,N,Y,90000,370629,13972.5,306000,Commercial associate,Secondary / secondary special,House / apartment,-16219,Sales staff,Self-employed,0,1,0,0,0,0,0
100162,0,Cash loans,F,N,Y,112500,547344,18216,472500,Pensioner,Secondary / secondary special,House / apartment,-21061,Others,Others,0,1,0,0,0,0,0
100163,0,Cash loans,F,N,Y,130500,550489.5,19773,454500,Working,Higher education,House / apartment,-19718,Others,Others,0,1,0,0,0,0,0
100164,0,Cash loans,F,Y,N,450000,407434.5,43362,387000,Commercial associate,Higher education,House / apartment,-16097,Core staff,Self-employed,0,0,0,0,0,0,1
100165,0,Cash loans,F,Y,Y,175500,1293502.5,35568,1129500,Pensioner,Secondary / secondary special,House / apartment,-21961,Others,Others,0,1,0,0,0,0,0
100166,0,Cash loans,F,N,Y,58500,152820,15241.5,135000,Working,Secondary / secondary special,Municipal apartment,-14359,Core staff,Government,0,1,0,0,0,0,0
100167,0,Cash loans,F,N,Y,180000,427500,46170,427500,Commercial associate,Secondary / secondary special,House / apartment,-15127,Others,Hotel,0,1,0,0,0,0,0
100173,0,Cash loans,F,N,N,117000,781920,26725.5,675000,Working,Higher education,House / apartment,-11633,Core staff,Government,0,1,0,0,0,0,0
100174,0,Revolving loans,F,N,Y,180000,225000,11250,225000,Working,Incomplete higher,Municipal apartment,-14597,Sales staff,Self-employed,0,0,0,0,0,0,0
